source,file,fsize,quantization,mse,qpoints,tse,arcs,finalpoints,retainedarcs,xmin,xmax,ymin,ymax
mx_nq.json,mxmapall/mx_q_1000.json,1366800,1000,1182046.453375635,3277814,3874528413525.0034,22130,96378,21923,907821.7741999999,4082997.360299997,319149.06159999967,2349614.8713999987
mx_nq.json,mxmapall/mx_q_2000.json,2008565,2000,295730.6095519875,3277814,969349932218.0383,28705,171420,28485,907821.7741999999,4082997.360299997,319149.06159999967,2349614.8713999987
mx_nq.json,mxmapall/mx_q_3000.json,2529678,3000,131802.07549704547,3277814,432022688293.2726,32673,236678,32466,907821.7741999999,4082997.360299997,319149.06159999967,2349614.8713999987
mx_nq.json,mxmapall/mx_q_4000.json,2976309,4000,74100.4806135301,3277814,242887592761.75757,35144,295947,34963,907821.7741999999,4082997.360299997,319149.06159999967,2349614.8713999987
mx_nq.json,mxmapall/mx_q_5000.json,3367376,5000,47465.70730233179,3277814,155583759915.48538,36618,350440,36461,907821.7741999999,4082997.360299997,319149.06159999967,2349614.8713999987
mx_nq.json,mxmapall/mx_q_6000.json,3707135,6000,32894.56908060179,3277814,107822279056.36368,37092,400696,36947,907821.7741999999,4082997.360299997,319149.06159999967,2349614.8713999987
mx_nq.json,mxmapall/mx_q_7000.json,4026505,7000,24117.840054652293,3277814,79053793780.90005,37412,448018,37290,907821.7741999999,4082997.360299997,319149.06159999967,2349614.8713999987
mx_nq.json,mxmapall/mx_q_8000.json,4323996,8000,18457.841256530064,3277814,60501370480.43184,37479,493370,37365,907821.7741999999,4082997.360299997,319149.06159999967,2349614.8713999987
mx_nq.json,mxmapall/mx_q_9000.json,4596726,9000,14599.155101714428,3277814,47853314980.57098,37222,535671,37126,907821.7741999999,4082997.360299997,319149.06159999967,2349614.8713999987
mx_nq.json,mxmapall/mx_q_10000.json,4852197,10000,11840.85484478551,3277814,38812119782.20577,36786,576114,36694,907821.7741999999,4082997.360299997,319149.06159999967,2349614.8713999987
mx_nq.json,mxmapall/mx_q_12000.json,5333981,12000,8210.048359323931,3277814,26911011452.869015,35946,651457,35868,907821.7741999999,4082997.360299997,319149.06159999967,2349614.8713999987
mx_nq.json,mxmapall/mx_q_15000.json,5960984,15000,5260.706441138958,3277814,17243617222.655453,33878,751128,33829,907821.7741999999,4082997.360299997,319149.06159999967,2349614.8713999987
mx_nq.json,mxmapall/mx_q_20000.json,6829869,20000,2959.764326954504,3277814,9701556947.59205,29915,890690,29884,907821.7741999999,4082997.360299997,319149.06159999967,2349614.8713999987
mx_nq.json,mxmapall/mx_q_25000.json,7513298,25000,1894.5914927205872,3277814,6210118519.120439,26312,1001867,26286,907821.7741999999,4082997.360299997,319149.06159999967,2349614.8713999987
mx_nq.json,mxmapall/mx_q_30000.json,8086669,30000,1315.2884003510515,3277814,4311270732.7082815,23367,1094145,23354,907821.7741999999,4082997.360299997,319149.06159999967,2349614.8713999987
